,id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,score,duration_int,duration_type
0,ds1,s1,movie,duck the halls: a mickey mouse christmas special,"alonso ramirez ramos, dave wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",,2021-11-26,2016,tv-g,23 min,"animation, family",100,23,min
1,ds2,s2,movie,ernest saves christmas,john cherry,"Jim Varney, Noelle Parker, Douglas Seale",,2021-11-26,1988,pg,91 min,comedy,17,91,min
2,ds3,s3,movie,ice age: a mammoth christmas,karen disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",united states,2021-11-26,2011,tv-g,23 min,"animation, comedy, family",92,23,min
3,ds4,s4,movie,the queen family singalong,hamish hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",,2021-11-26,2021,tv-pg,41 min,musical,35,41,min
4,ds5,s5,tv show,the beatles: get back,,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",,2021-11-25,2021,,1 Season,"docuseries, historical, music",11,1,season
5,ds6,s6,movie,becoming cousteau,liz garbus,"Jacques Yves Cousteau, Vincent Cassel",united states,2021-11-24,2021,pg-13,94 min,"biographical, documentary",18,94,min
6,ds7,s7,tv show,hawkeye,,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",,2021-11-24,2021,tv-14,1 Season,"action-adventure, superhero",98,1,season
7,ds8,s8,tv show,port protection alaska,,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",united states,2021-11-24,2015,tv-14,2 Seasons,"docuseries, reality, survival",60,2,season
8,ds9,s9,tv show,secrets of the zoo: tampa,,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",united states,2021-11-24,2019,tv-pg,2 Seasons,"animals & nature, docuseries, family",53,2,season
9,ds10,s10,movie,a muppets christmas: letters to santa,kirk r. thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",united states,2021-11-19,2008,g,45 min,"comedy, family, musical",7,45,min
10,ds11,s11,movie,adventure thru the walt disney archives,john gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",,2021-11-19,2020,tv-pg,59 min,documentary,17,59,min
11,ds12,s12,movie,puppy for hanukkah,,,,2021-11-19,2020,tv-g,4 min,"comedy, family, music",85,4,min
12,ds13,s13,movie,the pixar story,leslie iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",united states,2021-11-19,2007,g,91 min,"documentary, family",98,91,min
